City,Date,Temperature,Fuel_Price,Unemployment,IsHoliday
1,05-02-10,42.31,2.572,8.106,FALSE
1,12-02-10,38.51,2.548,8.106,TRUE
1,19-02-10,39.93,2.514,8.106,FALSE
1,26-02-10,46.63,2.561,8.106,FALSE
1,05-03-10,46.5,2.625,8.106,FALSE
1,12-03-10,57.79,2.667,8.106,FALSE
1,19-03-10,54.58,2.72,8.106,FALSE
1,26-03-10,51.45,2.732,8.106,FALSE
1,02-04-10,62.27,2.719,7.808,FALSE
1,09-04-10,65.86,2.77,7.808,FALSE
1,16-04-10,66.32,2.808,7.808,FALSE
1,23-04-10,64.84,2.795,7.808,FALSE
1,30-04-10,67.41,2.78,7.808,FALSE
1,07-05-10,72.55,2.835,7.808,FALSE
1,14-05-10,74.78,2.854,7.808,FALSE
1,21-05-10,76.44,2.826,7.808,FALSE
1,28-05-10,80.44,2.759,7.808,FALSE
1,04-06-10,80.69,2.705,7.808,FALSE
1,11-06-10,80.43,2.668,7.808,FALSE
1,18-06-10,84.11,2.637,7.808,FALSE
1,25-06-10,84.34,2.653,7.808,FALSE
1,02-07-10,80.91,2.669,7.787,FALSE
1,09-07-10,80.48,2.642,7.787,FALSE
1,16-07-10,83.15,2.623,7.787,FALSE
1,23-07-10,83.36,2.608,7.787,FALSE
1,30-07-10,81.84,2.64,7.787,FALSE
1,06-08-10,87.16,2.627,7.787,FALSE
1,13-08-10,87,2.692,7.787,FALSE
1,20-08-10,86.65,2.664,7.787,FALSE
1,27-08-10,85.22,2.619,7.787,FALSE
1,03-09-10,81.21,2.577,7.787,FALSE
1,10-09-10,78.69,2.565,7.787,TRUE
1,17-09-10,82.11,2.582,7.787,FALSE
1,24-09-10,80.94,2.624,7.787,FALSE
1,01-10-10,71.89,2.603,7.838,FALSE
1,08-10-10,63.93,2.633,7.838,FALSE
1,15-10-10,67.18,2.72,7.838,FALSE
1,22-10-10,69.86,2.725,7.838,FALSE
1,29-10-10,69.64,2.716,7.838,FALSE
1,05-11-10,58.74,2.689,7.838,FALSE
1,12-11-10,59.61,2.728,7.838,FALSE
1,19-11-10,51.41,2.771,7.838,FALSE
1,26-11-10,64.52,2.735,7.838,TRUE
1,03-12-10,49.27,2.708,7.838,FALSE
1,10-12-10,46.33,2.843,7.838,FALSE
1,17-12-10,49.84,2.869,7.838,FALSE
1,24-12-10,52.33,2.886,7.838,FALSE
1,31-12-10,48.43,2.943,7.838,TRUE
